Region;Pais;Localidad
Limitrofe;Chile;Santiago
Limitrofe;Chile;Vina del Mar
Limitrofe;Chile;Valparaiso
Limitrofe;Uruguay;Montevideo
Limitrofe;Uruguay;Colonia
Limitrofe;Uruguay;Punta Del Este
Limitrofe;Brasil;Rio de Janeiro
Limitrofe;Brasil;San Pablo
Limitrofe;Brasil;Brasilia
Limitrofe;Bolivia;La Paz
Limitrofe;Bolivia;Santa Cruz
Limitrofe;Bolivia;Cochabamba
Limitrofe;Paraguay;Asuncion
Limitrofe;Paraguay;Ciudad del Este
Limitrofe;Paraguay;Encarnacion
America Latina;Peru;Lima
America Latina;Peru;Cusco
America Latina;Peru;Arequipa
America Latina;Colombia;Bogota
America Latina;Colombia;Cali
America Latina;Colombia;Medellin
America Latina;Venezuela;Caracas
America Latina;Venezuela;Maracaibo
America Latina;Venezuela;Merida
America Latina;Honduras;Tegucigalpa
America Latina;Honduras;San Pedro
America Latina;Honduras;La Ceiba
America Latina;Mexico;Mexico DF
America Latina;Mexico;Guadalajara
America Latina;Mexico;Monterrey
America del Norte;Canada;Vancouver
America del Norte;Canada;Toronto
America del Norte;Canada;Montreal
America del Norte;EstadosUnidos;Miami
America del Norte;EstadosUnidos;Los Angeles
America del Norte;EstadosUnidos;Dallas
Europa;Espana;Madrid
Europa;Espana;Barcelona
Europa;Espana;Valencia
Europa;Francia;Paris
Europa;Francia;Marsella
Europa;Francia;Lyon
Europa;Italia;Roma
Europa;Italia;Milan
Europa;Italia;Venecia
Europa;Alemania;Berlin
Europa;Alemania;Munich
Europa;Alemania;Hamburgo
Europa;Portugal;Porto
Europa;Portugal;Lisboa
Europa;Portugal;Braga
Asia;China;Shangai
Asia;China;Beijing
Asia;China;Tianjin
Asia;Japon;Tokyo
Asia;Japon;Osaka
Asia;Japon;Kyoto
Asia;India;Jaipur
Asia;India;Mumbai
Asia;India;Agra
