region;provincia;localidad
Metropolitana;Buenos Aires;25 de mayo
Metropolitana;Buenos Aires;9 de julio
Metropolitana;Buenos Aires;Adolfo Alsina
Metropolitana;Buenos Aires;Adolfo Gonzales Chaves
Metropolitana;Buenos Aires;Alberti
Metropolitana;Buenos Aires;Almirante Brown
Metropolitana;Buenos Aires;Arrecifes
Metropolitana;Buenos Aires;Avellaneda
Metropolitana;Buenos Aires;Ayacucho
Metropolitana;Buenos Aires;Azul
Metropolitana;Buenos Aires;Bahia Blanca
Metropolitana;Buenos Aires;Balcarce
Metropolitana;Buenos Aires;Baradero
Metropolitana;Buenos Aires;Benito Juarez
Metropolitana;Buenos Aires;Berazategui
Metropolitana;Buenos Aires;Berisso
Metropolitana;Buenos Aires;Bolivar
Metropolitana;Buenos Aires;Bragado
Metropolitana;Buenos Aires;Brandsen
Metropolitana;Buenos Aires;Campana
Metropolitana;Buenos Aires;Canuelas
Metropolitana;Buenos Aires;Capitan Sarmiento
Metropolitana;Buenos Aires;Carlos Casares
Metropolitana;Buenos Aires;Carlos Tejedor
Metropolitana;Buenos Aires;Carmen de Areco
Metropolitana;Buenos Aires;Castelli
Metropolitana;Buenos Aires;Chacabuco
Metropolitana;Buenos Aires;Chascomus
Metropolitana;Buenos Aires;Chivilcoy
Metropolitana;Buenos Aires;Ciudad Libertador San Martin
Metropolitana;Buenos Aires;Colon
Metropolitana;Buenos Aires;Coronel de Marina Leonardo Rosales
Metropolitana;Buenos Aires;Coronel Dorrego
Metropolitana;Buenos Aires;Coronel Pringles
Metropolitana;Buenos Aires;Coronel Suarez
Metropolitana;Buenos Aires;Daireaux
Metropolitana;Buenos Aires;Dolores
Metropolitana;Buenos Aires;Ensenada
Metropolitana;Buenos Aires;Escobar
Metropolitana;Buenos Aires;Esteban Echeverria
Metropolitana;Buenos Aires;Exaltacion de la Cruz
Metropolitana;Buenos Aires;Florencio Varela
Metropolitana;Buenos Aires;Florentino Ameghino
Metropolitana;Buenos Aires;General Alvear
Metropolitana;Buenos Aires;General Arenales
Metropolitana;Buenos Aires;General Guido
Metropolitana;Buenos Aires;General Juan Madariaga
Metropolitana;Buenos Aires;General La Madrid
Metropolitana;Buenos Aires;General Las Heras
Metropolitana;Buenos Aires;General Lavalle
Metropolitana;Buenos Aires;General Paz
Metropolitana;Buenos Aires;General Pinto
Metropolitana;Buenos Aires;General Pueyrredon
Metropolitana;Buenos Aires;General Rodriguez
Metropolitana;Buenos Aires;General Viamonte
Metropolitana;Buenos Aires;General Villegas
Metropolitana;Buenos Aires;Guamini
Metropolitana;Buenos Aires;Hipolito Yrigoyen
Metropolitana;Buenos Aires;Hurlingham
Metropolitana;Buenos Aires;Ituzaingo
Metropolitana;Buenos Aires;Jose C. Paz
Metropolitana;Buenos Aires;Jose M. Ezeiza
Metropolitana;Buenos Aires;Junin
Metropolitana;Buenos Aires;La Costa
Metropolitana;Buenos Aires;La Matanza
Metropolitana;Buenos Aires;La Plata
Metropolitana;Buenos Aires;Lanus
Metropolitana;Buenos Aires;Laprida
Metropolitana;Buenos Aires;Las Flores
Metropolitana;Buenos Aires;Leandro N. Alem
Metropolitana;Buenos Aires;Lincoln
Metropolitana;Buenos Aires;Loberia
Metropolitana;Buenos Aires;Lobos
Metropolitana;Buenos Aires;Lomas de Zamora
Metropolitana;Buenos Aires;Lujan
Metropolitana;Buenos Aires;Magdalena
Metropolitana;Buenos Aires;Maipu
Metropolitana;Buenos Aires;Malvinas Argentinas
Metropolitana;Buenos Aires;Mar Chiquita
Metropolitana;Buenos Aires;Marcos Paz
Metropolitana;Buenos Aires;Mercedes
Metropolitana;Buenos Aires;Merlo
Metropolitana;Buenos Aires;Monte
Metropolitana;Buenos Aires;Monte Hermoso
Metropolitana;Buenos Aires;Moreno
Metropolitana;Buenos Aires;Moron
Metropolitana;Buenos Aires;Navarro
Metropolitana;Buenos Aires;Necochea
Metropolitana;Buenos Aires;Olavarria
Metropolitana;Buenos Aires;Patagones
Metropolitana;Buenos Aires;Pehuajo
Metropolitana;Buenos Aires;Pellegrini
Metropolitana;Buenos Aires;Pergamino
Metropolitana;Buenos Aires;Pila
Metropolitana;Buenos Aires;Pilar
Metropolitana;Buenos Aires;Pinamar
Metropolitana;Buenos Aires;Presidente Peron
Metropolitana;Buenos Aires;Puan
Metropolitana;Buenos Aires;Punta Indio
Metropolitana;Buenos Aires;Quilmes
Metropolitana;Buenos Aires;Rauch
Metropolitana;Buenos Aires;Rivadavia
Metropolitana;Buenos Aires;Rojas
Metropolitana;Buenos Aires;Roque Perez
Metropolitana;Buenos Aires;Saavedra
Metropolitana;Buenos Aires;Saladillo
Metropolitana;Buenos Aires;Salliquelo
Metropolitana;Buenos Aires;Salto
Metropolitana;Buenos Aires;San Andres de Giles
Metropolitana;Buenos Aires;San Antonio de Areco
Metropolitana;Buenos Aires;San Cayetano
Metropolitana;Buenos Aires;San Fernando
Metropolitana;Buenos Aires;San Isidro
Metropolitana;Buenos Aires;San Miguel
Metropolitana;Buenos Aires;San Nicolas
Metropolitana;Buenos Aires;San Pedro
Metropolitana;Buenos Aires;San Vicente
Metropolitana;Buenos Aires;Suipacha
Metropolitana;Buenos Aires;Tandil
Metropolitana;Buenos Aires;Tapalque
Metropolitana;Buenos Aires;Tigre
Metropolitana;Buenos Aires;Tordillo
Metropolitana;Buenos Aires;Tornquist
Metropolitana;Buenos Aires;Trenque Lauquen
Metropolitana;Buenos Aires;Tres Arroyos
Metropolitana;Buenos Aires;Tres de Febrero
Metropolitana;Buenos Aires;Tres Lomas
Metropolitana;Buenos Aires;Vicente Lopez
Metropolitana;Buenos Aires;Villa Gesell
Metropolitana;Buenos Aires;Villarino
Metropolitana;Buenos Aires;Zarate
Metropolitana;CABA;Ciudad de Buenos Aires
Norte;Catamarca;Ambato
Norte;Catamarca;Ancasti
Norte;Catamarca;Andalgala
Norte;Catamarca;Antofagasta de la Sierra
Norte;Catamarca;Belen
Norte;Catamarca;Capayan
Norte;Catamarca;Capital
Norte;Catamarca;El Alto
Norte;Catamarca;Fray Mamerto Esquiu
Norte;Catamarca;La Paz
Norte;Catamarca;Paclin
Norte;Catamarca;Poman
Norte;Catamarca;Santa Maria
Norte;Catamarca;Santa Rosa
Norte;Catamarca;Tinogasta
Norte;Catamarca;Valle Viejo
Norte;Chaco;1° de Mayo
Norte;Chaco;12 de octubre
Norte;Chaco;2 de abril
Norte;Chaco;25 de mayo
Norte;Chaco;9 de julio
Norte;Chaco;Almirante Brown
Norte;Chaco;Bermejo
Norte;Chaco;Chacabuco
Norte;Chaco;Comandante Fernandez
Norte;Chaco;Fray Justo Santa Maria de Oro
Norte;Chaco;General Belgrano
Norte;Chaco;General Donovan
Norte;Chaco;General Güemes
Norte;Chaco;Independencia
Norte;Chaco;Libertad
Norte;Chaco;Libertador General San Martin
Norte;Chaco;Maipu
Norte;Chaco;Mayor Luis J. Fontana
Norte;Chaco;O'Higgins
Norte;Chaco;Presidencia de la Plaza
Norte;Chaco;Quitilipi
Norte;Chaco;San Fernando
Norte;Chaco;San Lorenzo
Norte;Chaco;Sargento Cabral
Norte;Chaco;Tapenaga
Sur;Chubut;Biedma
Sur;Chubut;Cushamen
Sur;Chubut;Escalante
Sur;Chubut;Florentino Ameghino
Sur;Chubut;Futaleufu
Sur;Chubut;Gaiman
Sur;Chubut;Gastre
Sur;Chubut;Languineo
Sur;Chubut;Martires
Sur;Chubut;Paso de Indios
Sur;Chubut;Rawson
Sur;Chubut;Rio Senguer
Sur;Chubut;Sarmiento
Sur;Chubut;Tehuelches
Sur;Chubut;Telsen
Centro;Cordoba;Calamuchita
Centro;Cordoba;Capital
Centro;Cordoba;Colon
Centro;Cordoba;Cruz del Eje
Centro;Cordoba;General Roca
Centro;Cordoba;General San Martin
Centro;Cordoba;Ischilin
Centro;Cordoba;Juarez Celman
Centro;Cordoba;Marcos Juarez
Centro;Cordoba;Minas
Centro;Cordoba;Pocho
Centro;Cordoba;Presidente Roque Saenz Pena
Centro;Cordoba;Punilla
Centro;Cordoba;Rio Cuarto
Centro;Cordoba;Rio Primero
Centro;Cordoba;Rio Seco
Centro;Cordoba;Rio Segundo
Centro;Cordoba;San Alberto
Centro;Cordoba;San Javier
Centro;Cordoba;San Justo
Centro;Cordoba;Santa Maria
Centro;Cordoba;Sobremonte
Centro;Cordoba;Tercero Arriba
Centro;Cordoba;Totoral
Centro;Cordoba;Tulumba
Centro;Cordoba;Union
Norte;Corrientes;Bella Vista
Norte;Corrientes;Beron de Astrada
Norte;Corrientes;Capital
