region;provincia;localidad;calle;altura
Centro;Mendoza;Tupungato;LOPEZ;5489
Norte;San Juan;Angaco;MARTINEZ;599
Sur;Chubut;Paso de Indios;CERRITO;8777
Metropolitana;Buenos Aires;Ciudad Libertador San Martin;CORRIENTES;127
Norte;Chaco;Libertad;CABILDO;12998
Norte;Corrientes;San Luis del Palmar;LIBERTADOR;29872
Centro;Entre Rios;Victoria;18 DE marzo;1111
Sur;Neuquen;Picun Leufu;18 DE marzo;1111
Sur;Rio Negro;Avellaneda;18 DE marzo;1111
Centro;La Pampa;Catrilo;CABILDO;187
Metropolitana;Buenos Aires;San Antonio de Areco;CORDOBA;188
Norte;Misiones;Candelaria;MATIENZO;109972
Sur;Chubut;Rio Senguer;TRIUNVIRATO;6577
Metropolitana;Buenos Aires;Patagones;2 DE abril;2877
Sur;Neuquen;Anelo;CABILDO;1234
Centro;La Pampa;Maraco;11 PONIENTE;5798
Metropolitana;Buenos Aires;Daireaux;11 PONIENTE;5798
Norte;Chaco;Sargento Cabral;11 PONIENTE;5798
Centro;Mendoza;San Carlos;20 DE NOVIEMBRE;1422
Norte;Salta;Cerrillos;20 DE NOVIEMBRE;1422
Centro;Entre Rios;Uruguay;20 DE noviembre;5482
Norte;Formosa;Patino;20 DE noviembre;5887
Sur;Neuquen;Anelo;20 DE noviembre;1874
Centro;Cordoba;Tulumba;20 DE noviembre;0955
Norte;Catamarca;Ambato;20 DE noviembre;0955
Norte;Catamarca;Paclin;20 DE noviembre;0955
Metropolitana;Buenos Aires;Bragado;20 DE noviembre;1081
Norte;San Juan;Rawson;20 DE noviembre;1081
Centro;Mendoza;Maipu;20 DE noviembre;1858
Norte;San Juan;Santa Lucia;20 DE noviembre;1858
Sur;Santa Cruz;Corpen Aike;20 DE noviembre;1858
Centro;Mendoza;General Alvear;ADOLFO LOPEZ MATEOS;25
Norte;Santiago del Estero;Guasayan;ALDAMA;1212
Sur;Neuquen;Lacar;ALDAMA;1212
Centro;San Luis;Ayacucho;ALDAMA 19-13
Centro;Santa Fe;Villa Constitucion;ALDAMA 19-13
Sur;Neuquen;Picunches;ALDAMA 19-13
Norte;La Rioja;General Juan F. Quiroga;ALDAMA 50
Norte;La Rioja;Independencia;ALDAMA 50
Centro;Mendoza;Godoy Cruz;ALDAMA ESQ 20 DE NOVIEMBRE
Metropolitana;Buenos Aires;La Costa;ALDAMA ESQ 20 DE NOVIEMBRE
Centro;Mendoza;San Carlos;ALDAMA;720
Norte;San Juan;Caucete;ALDAMA;720
Centro;Entre Rios;Gualeguaychu;ARTEAGA;729
Metropolitana;Buenos Aires;La Plata;ARTEAGA;729
Centro;Santa Fe;San Martin;AV 3 ESQUINA CALLE 2
Norte;Chaco;Libertador General San Martin;AV 3 ESQUINA CALLE 2
Sur;Neuquen;Collon Cura;AV 3 ESQUINA CALLE 2
Metropolitana;Buenos Aires;Carlos Tejedor;AV 5 DE MAYO 659
Metropolitana;Buenos Aires;Salliquelo;AV 5 DE MAYO 659
Centro;Cordoba;Cruz del Eje;AV 5 DE MAYO;1006
Norte;Catamarca;Santa Maria;AV 5 DE MAYO;1006
Norte;Chaco;Maipu;AV 5 DE MAYO;1006
Metropolitana;Buenos Aires;Balcarce;AV DANIEL SOTO 738
Metropolitana;Buenos Aires;Villarino;AV DANIEL SOTO 738
Sur;Rio Negro;Pilcaniyeu;AV DANIEL SOTO 738
Centro;Cordoba;Sobremonte;AV INDEPENDENCIA;1189
Norte;Corrientes;Mercedes;AV INDEPENDENCIA;1189
Norte;Misiones;Eldorado;AV INDEPENDENCIA;1189
Metropolitana;Buenos Aires;Baradero;AV INDEPENDENCIA;219
Norte;San Juan;Pocito;AV INDEPENDENCIA;219
Sur;Neuquen;Zapala;AV INDEPENDENCIA;219
Norte;Catamarca;Ancasti;AV INDEPENDENCIA 565-A
Norte;Jujuy;Palpala;AV INDEPENDENCIA 565-A
Norte;Jujuy;Tumbaya;AV INDEPENDENCIA 565-A
Norte;Salta;Cachi;AV INDEPENDENCIA;545-B
Sur;Santa Cruz;Rio Chico;AV INDEPENDENCIA;545-B
Norte;Chaco;Bermejo;AV 18 DE MARZO ESQ BLVDM AVILA CAMACHO;1372
Norte;Chaco;Quitilipi;AV 18 DE MARZO ESQ BLVDM AVILA CAMACHO;1372
Norte;Chaco;General Donovan;AV 1O DE MAYO;102
Sur;Neuquen;Huiliches;AV 1O DE MAYO;102
Norte;Chaco;General Güemes;AV 1O DE MAYO;108
Norte;Jujuy;Humahuaca;AV 1O DE MAYO;108
Centro;La Pampa;Catrilo;AV 1O DE MAYO;240
Norte;La Rioja;San Blas de Los Sauces;AV 1O DE MAYO;240
Centro;Mendoza;Capital;AV 1O DE MAYO;29
Norte;Salta;Rivadavia;AV 1O DE MAYO;29
Centro;Cordoba;Rio Segundo;AV 20 DE;V;1372
Norte;San Juan;Calingasta;AV 20 DE;V;1372
Centro;La Pampa;Toay;AV 20 DE;V;881 ESQ ALDAMA
Metropolitana;Buenos Aires;Adolfo Gonzales Chaves;AV 20 DE;V;881 ESQ ALDAMA
Metropolitana;Buenos Aires;Navarro;AV 20 DE;V;881 ESQ ALDAMA
Metropolitana;Buenos Aires;Adolfo Gonzales Chaves;AV 20 DE NOVIEMBRE;1046
Norte;Catamarca;Tinogasta;AV 20 DE NOVIEMBRE;1046
Norte;Santiago del Estero;Moreno;AV 20 DE NOVIEMBRE;1046
Centro;Cordoba;Minas;AV 20 DE NOVIEMBRE;1053
Norte;San Juan;25 de mayo;AV 20 DE NOVIEMBRE;1053
Norte;Tucuman;Tafi Viejo;AV 20 DE NOVIEMBRE;1053
Metropolitana;Buenos Aires;Guamini;AV 20 DE NOVIEMBRE;1137
